track_number,datetime,center_lat,center_lon,total_precip,area,angle_of_movement
14069,2015-06-07 13:30:00,46.985,11.693,11.272,8,157.790
14708,2015-06-14 04:30:00,45.875,8.743,18.064,8,358.551
14712,2015-06-14 04:30:00,45.180,12.214,33.020,8,32.170
14755,2015-06-14 14:30:00,48.149,15.510,1102.357,290,6.921
14962,2015-06-16 16:30:00,45.020,11.429,643.356,132,121.799
15611,2015-06-23 15:30:00,46.304,12.361,558.451,98,93.164
16788,2015-07-08 08:30:00,47.351,14.279,14.518,7,146.606
16807,2015-07-08 15:30:00,47.075,13.540,3042.975,621,87.274
17567,2015-07-17 11:30:00,46.699,8.677,88.941,30,122.523
19731,2015-08-09 13:30:00,47.145,9.121,26.344,9,200.636
20286,2015-08-15 12:30:00,45.390,14.833,216.914,66,81.462
20325,2015-08-15 20:30:00,45.954,10.303,2118.857,626,87.074
22217,2015-09-04 19:30:00,46.315,13.793,133.456,24,98.461
23255,2015-09-15 11:30:00,46.655,8.130,25.661,14,326.518
23663,2015-09-19 20:30:00,45.103,14.680,861.127,135,61.617
11804,2016-05-14 12:30:00,46.257,11.551,174.101,42,97.890
12210,2016-05-18 21:30:00,46.729,8.024,17.904,9,64.221
13073,2016-05-27 17:30:00,47.482,15.124,440.452,113,272.271
13961,2016-06-05 09:30:00,47.605,15.676,210.983,73,126.889
14175,2016-06-07 08:30:00,47.942,7.045,32.311,9,232.001
14282,2016-06-08 08:30:00,46.906,7.749,104.161,35,63.531
14296,2016-06-08 11:30:00,45.585,11.201,151.012,61,46.288
14581,2016-06-11 14:30:00,46.457,13.409,607.477,167,54.170
14892,2016-06-14 15:30:00,45.993,9.870,9.125,5,87.534
15925,2016-06-24 16:30:00,46.260,5.389,760.813,134,52.216
15999,2016-06-25 12:30:00,45.145,15.905,424.033,154,305.816
16110,2016-06-26 14:30:00,46.387,8.914,32.352,18,109.481
16699,2016-07-02 12:30:00,48.000,15.532,69.813,18,20.676
17679,2016-07-12 18:30:00,48.573,15.537,3257.844,767,50.215
17740,2016-07-13 08:30:00,46.084,10.852,205.448,65,64.149
17794,2016-07-13 20:30:00,45.916,13.666,891.191,182,65.301
18603,2016-07-22 05:30:00,45.474,6.590,1781.749,326,301.322
18635,2016-07-22 12:30:00,46.968,12.404,8.168,4,293.277
21496,2016-08-20 20:30:00,48.594,12.736,263.771,113,8.342
21559,2016-08-21 12:30:00,46.632,13.442,99.203,52,83.615
21560,2016-08-21 12:30:00,45.838,15.339,38.925,17,133.957
22338,2016-08-29 11:30:00,47.317,12.404,338.823,80,88.774
22386,2016-08-29 18:30:00,45.292,7.740,131.744,44,104.980
24282,2016-09-17 21:30:00,45.104,13.938,49.554,30,138.440
12599,2017-05-12 09:30:00,47.250,7.101,3.229,2,318.804
13841,2017-05-24 15:30:00,47.150,11.750,1.276,1,81.402
14377,2017-05-30 14:30:00,47.250,11.473,498.240,160,69.446
14570,2017-06-01 10:30:00,47.202,14.943,9.686,4,291.880
16417,2017-07-08 12:30:00,47.449,5.439,74.782,20,113.513
16529,2017-07-09 14:30:00,47.421,11.221,1043.482,233,64.143
17725,2017-07-20 11:30:00,47.750,10.950,2.181,1,107.293
17823,2017-07-21 12:30:00,46.838,6.543,19.351,9,71.881
17967,2017-07-24 01:30:00,45.714,10.842,61.060,24,70.569
17984,2017-07-24 06:30:00,45.981,9.650,2.740,2,32.541
19150,2017-08-04 15:30:00,47.375,14.486,77.450,27,296.275
19235,2017-08-05 15:30:00,47.348,11.968,308.497,68,92.797
19297,2017-08-06 07:30:00,45.783,9.392,357.569,85,61.193
19639,2017-08-09 14:30:00,46.502,10.087,12.053,7,99.190
19717,2017-08-10 08:30:00,45.035,11.220,7.998,5,91.804
19810,2017-08-11 08:30:00,48.372,13.895,645.533,132,19.395
20616,2017-08-19 03:30:00,47.325,11.537,586.728,245,76.314
20689,2017-08-19 12:30:00,47.180,11.906,117.710,37,62.272
21481,2017-08-27 14:30:00,47.380,12.609,23.027,13,107.767
22534,2017-09-07 15:30:00,45.012,10.847,102.771,38,88.551
23293,2017-09-15 17:30:00,45.219,13.022,471.079,58,83.399
23389,2017-09-16 16:30:00,45.888,15.600,578.304,166,53.012
24055,2017-09-24 03:30:00,46.050,11.864,338.741,57,109.852
13696,2018-05-27 10:30:00,48.082,8.468,31.132,15,356.512
13706,2018-05-27 12:30:00,46.491,12.322,441.290,169,60.970
14086,2018-05-31 10:30:00,46.518,14.125,15.180,10,106.845
14123,2018-05-31 20:30:00,48.305,7.268,2824.020,464,14.050
14512,2018-06-04 12:30:00,47.550,11.756,3.070,2,264.574
14813,2018-06-07 15:30:00,48.457,8.766,41.603,19,347.648
14890,2018-06-08 12:30:00,47.714,12.271,72.457,41,266.574
15144,2018-06-11 15:30:00,46.892,12.171,866.491,227,95.011
15202,2018-06-12 06:30:00,45.757,10.486,41.924,16,50.020
15317,2018-06-13 09:30:00,45.166,15.534,474.410,123,111.679
19095,2018-07-20 22:30:00,46.108,9.117,1438.013,559,82.470
19225,2018-07-22 09:30:00,45.609,14.862,6.267,4,110.241
20192,2018-08-01 12:30:00,45.755,7.463,160.931,58,228.710
20815,2018-08-07 10:30:00,47.506,14.488,9.679,4,78.305
21367,2018-08-13 10:30:00,45.192,8.767,1337.849,491,116.894
22285,2018-08-23 11:30:00,47.500,9.778,77.170,31,36.973
22517,2018-08-25 14:30:00,45.826,11.681,777.825,284,193.448
23161,2018-08-31 18:30:00,45.030,8.286,266.686,50,76.168
23193,2018-09-01 02:30:00,45.960,13.525,472.474,129,98.324
10736,2019-05-02 12:30:00,45.592,7.775,29.172,9,55.051
11526,2019-05-11 10:30:00,47.562,9.883,54.113,17,55.571
11569,2019-05-11 19:30:00,45.785,11.740,2065.182,384,177.876
12373,2019-05-20 09:30:00,48.659,13.482,1658.452,527,333.705
13156,2019-05-28 11:30:00,45.937,8.168,409.997,113,173.666
15419,2019-06-20 13:30:00,47.684,11.750,918.425,226,65.761
15593,2019-06-22 06:30:00,45.585,11.167,754.470,300,286.021
15599,2019-06-22 07:30:00,45.916,13.086,859.473,343,68.578
16477,2019-07-01 09:30:00,47.494,11.277,32.505,12,44.335
16984,2019-07-06 16:30:00,46.380,11.128,316.184,111,93.168
17054,2019-07-07 14:30:00,45.980,11.639,518.215,135,134.530
17142,2019-07-08 16:30:00,46.072,12.749,22.514,14,127.100
17996,2019-07-17 15:30:00,46.651,12.465,8.047,6,78.505
18329,2019-07-21 04:30:00,48.377,11.699,586.663,279,73.059
18768,2019-07-25 11:30:00,46.588,11.163,177.053,67,300.002
18866,2019-07-26 11:30:00,46.589,9.665,60.434,25,74.904
18891,2019-07-26 17:30:00,46.874,7.358,1252.026,271,358.021
18957,2019-07-27 11:30:00,47.712,15.614,312.724,55,348.509
19487,2019-08-02 09:30:00,46.191,8.305,56.901,27,109.453
20470,2019-08-13 16:30:00,46.850,13.350,2.081,1,34.811
21450,2019-08-24 07:30:00,46.602,14.458,25.576,10,353.155
22269,2019-09-02 11:30:00,45.509,14.881,10.954,7,339.056
22795,2019-09-08 12:30:00,46.357,13.369,1695.957,256,124.874
13177,2020-06-07 03:30:00,45.905,8.586,85.494,16,20.888
13320,2020-06-08 10:30:00,45.389,10.750,2.798,2,43.504
14195,2020-06-16 21:30:00,45.835,6.339,241.371,105,346.783
