track_number,datetime,center_lat,center_lon,total_precip,area,angle_of_movement
12738,2019-05-24 00:30:00,42.840,-0.681,1966.561,466,142.541
14922,2019-06-15 09:30:00,44.508,3.546,14.835,9,27.717
16996,2019-07-06 20:30:00,46.949,3.170,93.538,46,85.006
17195,2019-07-09 04:30:00,43.041,3.194,450.967,139,156.033
18881,2019-07-26 14:30:00,45.196,2.888,341.081,153,119.282
19346,2019-08-01 00:30:00,42.573,-3.499,72.558,36,60.223
24063,2019-09-22 17:30:00,46.253,4.456,3055.604,812,61.553
10655,2020-05-09 13:30:00,42.774,-3.050,52.292,16,21.838
10683,2020-05-09 22:30:00,46.701,-1.493,917.672,205,185.492
11078,2020-05-14 10:30:00,40.840,-0.260,1195.171,270,62.702
12516,2020-05-31 10:30:00,40.650,-4.904,2.259,2,326.030
12519,2020-05-31 11:30:00,42.081,-3.051,188.642,65,76.511
12617,2020-06-01 12:30:00,46.250,2.409,216.164,66,211.960
12787,2020-06-03 10:30:00,43.160,-0.898,323.211,100,248.665
12820,2020-06-03 18:30:00,45.831,3.154,490.468,180,113.903
13185,2020-06-07 05:30:00,40.490,3.921,161.432,58,47.738
17723,2020-07-21 15:30:00,45.246,4.344,22.344,12,17.642
17802,2020-07-22 10:30:00,45.825,3.056,10.501,8,118.817
18773,2020-08-01 10:30:00,44.864,0.859,85.224,36,58.059
19535,2020-08-10 00:30:00,45.538,-3.520,1194.403,63,47.347
19779,2020-08-12 14:30:00,48.578,-0.255,1555.282,395,47.754
20041,2020-08-15 11:30:00,45.790,-4.893,105.899,24,40.136
20076,2020-08-15 19:30:00,45.663,-1.737,1216.272,216,80.957
20144,2020-08-16 12:30:00,45.377,4.660,10.483,8,125.240
20644,2020-08-21 21:30:00,45.100,2.024,906.528,170,60.455
23500,2020-09-21 23:30:00,42.186,3.560,31.357,15,171.947
