track_number,datetime,center_lat,center_lon,total_precip,area
23713,2002-09-24 23:30:00,39.386467,19.873571,7458.42,2357
24027,2002-09-27 19:30:00,39.40219,14.552661,529.90765,102
24220,2002-09-30 02:30:00,46.546665,-8.478654,17.5401,34
24307,2002-10-01 02:30:00,42.832592,-5.433281,919.23914,1103
24321,2002-10-01 04:30:00,39.170273,-5.7202306,4100.908,1560
24499,2002-10-02 23:30:00,43.047142,10.228502,826.749,1110
24516,2002-10-03 03:30:00,40.755947,10.087772,2143.271,1047
24733,2002-10-05 10:30:00,36.78412,17.745834,192.53142,45
24743,2002-10-06 16:30:00,38.17373,19.71066,1521.1086,1180
25199,2002-10-09 22:30:00,41.34581,18.39227,1475.2738,210
25244,2002-10-10 09:30:00,41.79745,1.6277115,1367.0422,635
25269,2002-10-10 13:30:00,37.236748,10.855243,462.67566,59
25289,2002-10-10 18:30:00,44.26462,6.1025467,5187.5303,2465
25329,2002-10-11 04:30:00,39.277798,14.381413,848.7523,272
25352,2002-10-11 12:30:00,37.661854,18.808157,1048.1235,292
25392,2002-10-12 00:30:00,40.328438,10.950175,868.70264,190
25399,2002-10-12 02:30:00,44.74037,13.79878,5074.388,2580
25444,2002-10-12 12:30:00,40.150967,15.216202,367.76068,128
25552,2002-10-13 22:30:00,36.208218,22.062405,95.89148,36
